"cue","target","cosine","fake_cue","fake_target"
"točno","natančen",0.377148951959258,"točzo","narančen"
"točno","točen",0.36127956805596,"točro","točgn"
"kri","krvno",0.495771832505956,"kii","urvno"
"kri","slina",0.482260887302157,"kti","slinr"
"kri","kaplja",0.46927072941534,"krn","kaflja"
"kri","sperma",0.468455270900788,"krm","sperwa"
"kri","urin",0.463559684063457,"pri","urtn"
"prvič","zadnjič",0.603524526409568,"prdič","zadnjmč"
"prvič","zadnjikrat",0.563496112090343,"prvip","zadnjiknat"
"prvič","nazadnje",0.510106118812864,"prvim","naladnje"
"prvič","tretjič",0.488273467512012,"prbič","trettič"
"prvič","drugič",0.476184950122701,"prvbč","frugič"
"delati","početi",0.562228224609239,"denati","šočeti"
"delati","poslovati",0.542016207152635,"dšlati","poslovath"
"delati","delaj",0.536361308841734,"delabi","delay"
"delati","garati",0.520896669158035,"deladi","garaai"
"delati","dejati",0.511891674036747,"devati","dsjati"
"popolnoma","povsem",0.838389547950716,"popofnoma","pyvsem"
"popolnoma","čisto",0.709417180381769,"poaolnoma","čistf"
"popolnoma","totalno",0.582582525569119,"popolnhma","tottlno"
"popolnoma","popolno",0.438112513796752,"ponolnoma","povolno"
"popolnoma","praktično",0.39598436954309,"popolaoma","prakuično"
"načrt","plan",0.61392263337399,"njčrt","plšn"
"načrt","načrti",0.54552354042639,"nhčrt","jačrti"
"načrt","predlog",0.487510695057835,"našrt","oredlog"
"načrt","urnik",0.474777003065286,"nnčrt","urnio"
"načrt","načrtovano",0.459471210420947,"hačrt","načbtovano"
"vrata","potrkati",0.554529246583073,"irata","potekati"
"vrata","ključavnica",0.553362077444854,"včata","mljučavnica"
"vrata","trkati",0.516524443166565,"zrata","trkyti"
"vrata","okno",0.490297084969718,"vrama","hkno"
"vrata","vrati",0.485604866685132,"vrlta","krati"
"zraven","prisoten",0.328519706795226,"zraken","prisoteo"
"zraven","vmes",0.321096707591965,"žraven","vfes"
"zraven","naraven",0.314658586939769,"zrcven","nšraven"
"zraven","noter",0.314597407834334,"zravon","notfr"
"zraven","mimo",0.313777173052082,"zršven","mido"
