"word_combo","zh_cue","zh_target","type","cue_type","target_type","zh_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"脆弱敏感","脆弱","敏感","related","word","word",0.860044263783641,-0.722110904702982,0.288212196866877,0.10189839941262,8,11,11,1,1,11,11,1,1,FALSE,FALSE,FALSE
"脆弱诫头","脆弱","诫头","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"脆弱集中","脆弱","集中","unrelated","word","word",0.761829859849721,-0.526907058998094,0.385494892998538,0.111282790121966,12,14,15,0,0.933333333333333,14,15,0,0.933333333333333,FALSE,FALSE,FALSE
"脊柱腹部","脊柱","腹部","related","word","word",0.836672933892717,0.0551299185620438,1.28403350204982,0.321008375512455,16,17,18,2,0.944444444444444,16,18,2,0.888888888888889,FALSE,FALSE,FALSE
"脊柱苏打","脊柱","苏打","unrelated","word","word",0.812100891195943,-0.260072816104014,0.518432318673932,0.163942693965187,10,15,17,0,0.88235294117647,12,17,0,0.705882352941177,FALSE,FALSE,FALSE
"脊柱钢泡","脊柱","钢泡","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"脏恶抛香","脏恶","抛香","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"脏恶炸开","脏恶","炸开","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"腰子咐掉","腰子","咐掉","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"腰子永远","腰子","永远","unrelated","word","word",0.681175965235354,-0.329639390051335,0.420667576932032,0.148728448136977,8,9,11,0,0.818181818181818,9,11,0,0.818181818181818,FALSE,FALSE,FALSE
"腰子肝脏","腰子","肝脏","related","word","word",0.89951553256711,-0.419306592921984,0.28400229353566,0.0733290768765548,15,19,20,0,0.95,16,20,0,0.8,FALSE,FALSE,FALSE
"腰颊纸家","腰颊","纸家","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"腰颊胡同","腰颊","胡同","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"腹泻呕吐","腹泻","呕吐","related","word","word",0.923987437602269,-0.42110023463159,0.939681897189506,0.313227299063169,9,10,10,1,1,10,10,1,1,FALSE,FALSE,FALSE
"腹泻帝织","腹泻","帝织","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"腹泻担心","腹泻","担心","unrelated","word","word",0.741010218398898,-0.473239765269508,0.479313315751002,0.169462847940271,8,11,12,1,0.916666666666667,10,12,1,0.833333333333333,FALSE,FALSE,FALSE
"腿吹三重","腿吹","三重","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"腿吹此芭","腿吹","此芭","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"臀部屁股","臀部","屁股","related","word","word",0.961732948045081,-0.540049201725427,0.675529698094822,0.0965042425849745,49,53,54,1,0.981481481481482,47,52,3,0.903846153846154,FALSE,TRUE,FALSE
