"word_combo","pl_cue","pl_target","type","cue_type","target_type","pl_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"pocałunektworny","pocałunek","tworny","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pocałunekuścisk","pocałunek","uścisk","related","word","word",0.606995713522611,-0.361897963810637,0.720097723346594,0.108558816396809,44,46,46,0,1,45,46,0,0.978260869565217,FALSE,FALSE,FALSE
"pochlebiaćimponować","pochlebiać","imponować","related","word","word",0.505815396296967,-0.128765275571044,0.794022892128593,0.115820142409471,47,49,50,3,0.98,47,50,3,0.94,FALSE,TRUE,FALSE
"pochlebiaćpapieros","pochlebiać","papieros","unrelated","word","word",0.111343569661285,-0.0294184312251989,1.80972932998136,0.310366019582703,34,37,38,1,0.973684210526316,38,38,1,1,FALSE,FALSE,FALSE
"pochlebiaćrupić","pochlebiać","rupić","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pochlenyokup","pochleny","okup","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pochlenysysp","pochleny","sysp","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pochwadezwarsztacja","pochwa","dezwarsztacja","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pochwapenis","pochwa","penis","related","word","word",0.491955775445769,-0.514892117269131,0.419666053898643,0.0612145853838806,47,51,51,1,1,50,50,2,1,TRUE,TRUE,FALSE
"pochwapodział","pochwa","podział","unrelated","word","word",0.0948723772725326,-0.430159332787238,0.791053750119128,0.126669976567167,39,39,39,1,1,39,39,1,1,FALSE,FALSE,FALSE
"pochwękapioaplika","pochwęka","pioaplika","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pochwękapodpis","pochwęka","podpis","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pociągautobus","pociąg","autobus","related","word","word",0.740192170415227,-0.672201910182641,0.425806184101452,0.0621102154237092,47,50,50,0,1,49,50,0,0.98,TRUE,TRUE,FALSE
"pociągdolar","pociąg","dolar","unrelated","word","word",0.148076126238763,-0.534219600860186,0.581307594500386,0.0847924273294604,47,50,50,5,1,50,50,5,1,TRUE,TRUE,FALSE
"pociągperspektychrystny","pociąg","perspektychrystny","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pocieżfranroki","pocież","franroki","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pocieżodzew","pocież","odzew","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pocztacitros","poczta","citros","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pocztafaks","poczta","faks","related","word","word",0.367941782293949,-0.021071736948626,0.855894524348868,0.140708193043154,37,37,44,1,0.840909090909091,44,44,1,1,FALSE,FALSE,FALSE
"pocztawodór","poczta","wodór","unrelated","word","word",0.101521713568089,-0.320169290181754,0.68354258072347,0.103047921295044,44,45,50,1,0.9,49,50,1,0.98,FALSE,TRUE,FALSE
"podarz spolaćlycił","podarz spolać","lycił","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"podarz spolaćzatrzymać","podarz spolać","zatrzymać","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"podkartakchlajny","podkartak","chlajny","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"podkartakuczucie","podkartak","uczucie","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"podłogadywan","podłoga","dywan","related","word","word",0.461646362972756,-0.673193425472522,0.390586193644697,0.0602687581283191,42,45,45,1,1,44,44,2,1,FALSE,FALSE,FALSE
"podłogadzieniskirz","podłoga","dzieniskirz","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"podłogagrecki","podłoga","grecki","unrelated","word","word",0.00702835383717542,-0.291855106071099,0.637518222539718,0.104807350174241,37,38,39,1,0.974358974358974,38,39,1,0.974358974358974,FALSE,FALSE,FALSE
"podobnymuzyka","podobny","muzyka","unrelated","word","word",0.13425338210275,-0.683882852572356,0.616068665768816,0.101281064762956,37,40,40,0,1,36,38,2,0.947368421052632,FALSE,FALSE,FALSE
"podobnypioaplika","podobny","pioaplika","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"podobnyróżny","podobny","różny","related","word","word",0.433466524635492,-0.608389867753944,0.576478199736306,0.0869073585611311,44,49,50,2,0.98,48,50,2,0.96,TRUE,TRUE,FALSE
"podróbkadrapieżnik","podróbka","drapieżnik","unrelated","word","word",0.0740331162434945,-0.291463056686113,0.654439396529775,0.119483739999809,30,32,34,1,0.941176470588235,34,34,1,1,FALSE,FALSE,FALSE
"podróbkafałszywe","podróbka","fałszywe","related","word","word",0.427000188364284,-0.50884076723757,0.3991321481699,0.0639122940107045,39,41,42,1,0.976190476190476,42,42,1,1,FALSE,FALSE,FALSE
"podróbkasabogins","podróbka","sabogins","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"podrzećbogejk","podrzeć","bogejk","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
