"word_combo","fa_cue","fa_target","type","cue_type","target_type","fa_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"معبدربع","معبد","ربع","unrelated","word","word",0.127656273626397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"معبدصومعه","معبد","صومعه","related","word","word",0.39332944837154,0.36496023153076,0.919589230463476,0.459794615231738,4,4,5,0,0.8,5,5,0,1,FALSE,FALSE,FALSE
"معدهبازیوت","معده","بازیوت","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"معدهقفسه سینه","معده","قفسه سینه","related","word","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"معدهورق بازی","معده","ورق بازی","unrelated","word","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"معديتدری","معدي","تدری","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"معديچیزی","معدي","چیزی","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"معشوجاجواب","معشوجا","جواب","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"معشوجاوزر","معشوجا","وزر","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"معشوقهجدس","معشوقه","جدس","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"معشوقهریش","معشوقه","ریش","unrelated","word","word",0.111095455977648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"معشوقهعاشق","معشوقه","عاشق","related","word","word",0.233486828145934,-0.373544443208166,0.559625985830051,0.395715329508636,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"معکونهبینظنه","معکونه","بینظنه","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"معکونهعروس","معکونه","عروس","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"معمولسه","معمول","سه","unrelated","word","word",0.125984538801292,-0.222555543275789,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"معمولکلاسیک","معمول","کلاسیک","related","word","word",0.202689062799737,-0.674296540334155,0.164780192098287,0.095135888265064,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"معمولگته","معمول","گته","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"معنیاهمیت","معنی","اهمیت","related","word","word",0.424266220360537,-0.318752112729121,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
