"word_combo","pt_cue","pt_target","type","cue_type","target_type","pt_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"frequênciasinal","frequência","sinal","related","word","word",0.317379680901242,-0.545481842933032,0.664913606122724,0.117541229948145,32,33,33,0,1,33,33,0,1,FALSE,FALSE,FALSE
"frequênciasnaiplo","frequência","snaiplo","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"frequencionalmentedama","frequencionalmente","dama","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"frequencionalmenteguataporto","frequencionalmente","guataporto","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"frequênhojornalista","frequênho","jornalista","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"frequênhouto","frequênho","uto","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"frescoraabplendo","frescora","abplendo","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"frescoracongelar","frescora","congelar","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"frescorefrescar","fresco","refrescar","related","word","word",0.372576544885386,-0.109462535283522,0.866983128056088,0.15828873873757,30,32,32,0,1,26,31,1,0.838709677419355,FALSE,FALSE,FALSE
"frescosalvar","fresco","salvar","unrelated","word","word",0.0533234860402236,-0.784004476571378,0.52284003737366,0.0954570941454659,30,31,32,1,0.96875,31,32,1,0.96875,FALSE,FALSE,FALSE
"frescovercentemente","fresco","vercentemente","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fretecarga","frete","carga","related","word","word",0.289447253432612,-0.424116306920927,0.575870676661612,0.132113793900861,19,22,24,0,0.916666666666667,17,24,0,0.708333333333333,FALSE,FALSE,FALSE
"fretefesaque","frete","fesaque","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fretesolar","frete","solar","unrelated","word","word",0.108144228659043,-0.223168427142032,0.979586433923565,0.119675530331416,67,70,70,0,1,59,70,0,0.842857142857143,FALSE,TRUE,TRUE
"fringinagratigues","fringina","gratigues","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fringinajulgamento","fringina","julgamento","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fuexiadopredador","fuexiado","predador","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fuexiadoqueiteiro","fuexiado","queiteiro","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fugircinde","fugir","cinde","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fugirescapar","fugir","escapar","related","word","word",0.762786545560554,-0.415353319900746,0.68048643512983,0.138903711912801,24,27,27,1,1,25,27,1,0.925925925925926,FALSE,FALSE,FALSE
"fugirlongo","fugir","longo","unrelated","word","word",0.0673110811257406,-0.376251717579352,0.570476047155199,0.0718732261758006,63,64,65,0,0.984615384615385,64,65,0,0.984615384615385,TRUE,TRUE,TRUE
"fumarasnortsino","fumar","asnortsino","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
