"word_combo","tr_cue","tr_target","type","cue_type","target_type","tr_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"kültürmedeniyet","kültür","medeniyet","related","word","word",0.477019381494054,-0.271641416902065,0.880656536623326,0.0824810417078081,114,122,131,5,0.931297709923664,126,131,5,0.961832061068702,TRUE,TRUE,TRUE
"kulüpbar","kulüp","bar","related","word","word",0.496712164919338,-0.369000219516022,0.669803773000902,0.061660435239716,118,138,140,6,0.985714285714286,136,140,6,0.971428571428571,TRUE,TRUE,TRUE
"kulüpklasik","kulüp","klasik","unrelated","word","word",0.132753565767244,-0.468568832389253,0.594050854569009,0.0588197994054698,102,107,109,7,0.981651376146789,102,109,7,0.935779816513762,TRUE,TRUE,TRUE
"kulüpoft","kulüp","oft","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kumararalık","kumar","aralık","unrelated","word","word",0.0509500058259111,-0.424451627050597,0.789308075557568,0.0646626370620214,149,159,162,8,0.981481481481482,157,163,7,0.96319018404908,TRUE,TRUE,TRUE
"kumarbipgi yermek","kumar","bipgi yermek","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kumarpoker","kumar","poker","related","word","word",0.630819565775669,-0.255639130940425,0.774342391138516,0.071587979385008,117,132,137,8,0.963503649635037,131,138,7,0.949275362318841,TRUE,TRUE,TRUE
"kumaşmartleer","kumaş","martleer","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kumaşmendil","kumaş","mendil","related","word","word",0.387139734021923,-0.329908046799121,0.902415569109058,0.0884891268510967,104,118,121,6,0.975206611570248,117,123,4,0.951219512195122,TRUE,TRUE,TRUE
"kumaşprogram","kumaş","program","unrelated","word","word",0.091411215212205,-0.37361940438041,0.87561159912083,0.0737397990307734,141,155,157,7,0.987261146496815,153,157,7,0.974522292993631,TRUE,TRUE,TRUE
"kümilkshaneelektpiyonluk","kümilkshane","elektpiyonluk","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kümilkshanetoplantı","kümilkshane","toplantı","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kunieelektlumbağa","kunie","elektlumbağa","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kuniemedeniyet","kunie","medeniyet","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kunmaksibizli","kunmak","sibizli","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
