"word_combo","es_cue","es_target","type","cue_type","target_type","es_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"tazadisuisión","taza","disuisión","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tazainsignificante","taza","insignificante","unrelated","word","word",0.138189319264502,0.116442546701178,0.832062780185428,0.124036595869472,45,49,50,2,0.98,45,50,2,0.9,FALSE,TRUE,FALSE
"tazurcoaccidente","tazurco","accidente","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tazurcoirposición","tazurco","irposición","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"técnicofibro","técnico","fibro","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"técnicomecánico","técnico","mecánico","related","word","word",0.546380830673145,-0.560925153060433,0.571529144027375,0.0816470205753393,49,50,50,1,1,48,50,1,0.96,TRUE,TRUE,FALSE
"técnicoVenus","técnico","Venus","unrelated","word","word",NA,-0.235511232123849,0.673560262867268,0.103932604961767,42,44,51,0,0.862745098039216,50,51,0,0.980392156862745,FALSE,TRUE,FALSE
"tecnologíaciencia","tecnología","ciencia","related","word","word",0.56649333384432,-0.649412536112586,0.488850466077164,0.0705594870457811,48,49,50,0,0.98,45,50,0,0.9,TRUE,TRUE,FALSE
"tecnologíacruel","tecnología","cruel","unrelated","word","word",0.0584593288990921,-0.441603144809664,0.529679309893099,0.0895321444795634,35,36,36,1,1,35,36,1,0.972222222222222,FALSE,FALSE,FALSE
"tecnologíadesñeción","tecnología","desñeción","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tedarespadiati","tedar","espadiati","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tedarsenador","tedar","senador","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tedigramamicrófono","tedigrama","micrófono","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tedigramavintival","tedigrama","vintival","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tefrircártel","tefrir","cártel","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tefrirmurseguir","tefrir","murseguir","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"teíraltrelar","teír","altrelar","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"teírhabilidad","teír","habilidad","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tekepiamancisner","tekepia","mancisner","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tekepianariz","tekepia","nariz","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"telamartes","tela","martes","unrelated","word","word",0.081989406637959,-0.679820536401203,0.72281968891796,0.105434087778529,47,49,51,1,0.96078431372549,47,51,1,0.92156862745098,FALSE,TRUE,FALSE
"telapañuelo","tela","pañuelo","related","word","word",0.41160366380356,-0.652703067689701,0.277268613172304,0.0396098018817577,49,50,50,1,1,50,50,1,1,TRUE,TRUE,FALSE
"telasíntrime","tela","síntrime","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
